tag_name,tag_group
alfa_romeo,marques
audi,marques
bmw,marques
chevrolet,marques
citroën,marques
cupra,marques
dacia,marques
ds_automobiles,marques
fiat,marques
ford,marques
honda,marques
hyundai,marques
jaguar,marques
jeep,marques
kia,marques
lancia,marques
land_rover,marques
lexus,marques
mazda,marques
mercedes-benz,marques
mini,marques
nissan,marques
opel,marques
peugeot,marques
porsche,marques
suzuki,marques
seat,marques
skoda,marques
smart,marques
tesla,marques
toyota,marques
volkswagen,marques
volvo,marques
aprilia,marques
ducati,marques
harley_davidson,marques
kawasaki,marques
ktm,marques
kymco,marques
suzuki,marques
triumph,marques
yamaha,marques
daf,marques
iveco,marques
man,marques
mercedes-benz_hd,marques
renault_trucks,marques
scania,marques
volvo_hd,marques
